iter	Passed	Remaining
0	0	80
1	1	71
2	2	73
3	2	66
4	3	64
5	3	62
6	4	60
7	5	59
8	5	57
9	6	56
10	7	57
11	7	57
12	8	56
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	11	50
19	12	49
20	13	48
21	13	48
22	14	47
23	14	46
24	15	46
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	30
51	32	30
52	33	29
53	34	29
54	35	28
55	35	28
56	36	27
57	37	27
58	38	26
59	39	26
60	40	25
61	41	25
62	42	24
63	42	24
64	43	23
65	44	23
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
